source_narrator_id,narrator_code,narrator_name,profile_name,avatar_url,book_count,album_count,following_count,follower_count,profile_summary,source_url,source
771497421,LR_NARRATOR_000022,大甜儿,大甜儿,https://headpic.lrts.me/IdBBpN6iLVUvFBBo57cArolRjWm4Dpah-announcer-1-19119204.png?imageMogr2/thumbnail/180x180&sign=8706e3502506afaa468d90bf960f7679&t=6a38a591,108,,,545,"大甜儿推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/771497421,lrts
754404520,LR_NARRATOR_000023,晚安,晚安,https://headpic.lrts.me/XIJeXKPe8RrOkQdADAXqSmuf9j95WUFr-announcer-1-14457390.png?imageMogr2/thumbnail/180x180&sign=531ad084da3f16cbd186c94fc371e7ac&t=6a38a591,877,,,1556,"晚安推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/754404520,lrts
747605593,LR_NARRATOR_000024,娴侃侃,娴侃侃,https://headpic.lrts.me/jdZJadfjuTLwKvZ0p0yEcogyqc6RLvSk-announcer-1-15975074.png?imageMogr2/thumbnail/180x180&sign=f262539dc0179a7940d8b6cf8a1e6e1b&t=6a38a592,32,,,14818,"娴侃侃推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/747605593,lrts
800306259,LR_NARRATOR_000025,联通沃悦读,联通沃悦读,https://headpic.lrts.me/awW787L7geXKuNq4xM6FbC9eYuourlU9-announcer-1-17636229.png?imageMogr2/thumbnail/180x180&sign=4ed19d43e63aac37ea8282fc665254a7&t=6a38a592,425,,,52,"联通沃悦读推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/800306259,lrts
802264719,LR_NARRATOR_000026,小酷说书,,,,,,,,https://www.lrts.me/user/802264719,lrts
773435117,LR_NARRATOR_000027,柳雨芳芳,柳雨芳芳,https://headpic.lrts.me/FpRLNllCnjFx6NA8QG4re31rWkundkUr-announcer-1-19358876.png?imageMogr2/thumbnail/180x180&sign=b92c46938931d974884daba98e15d154&t=6a38a593,1251,,,511,"柳雨芳芳推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/773435117,lrts
862409798,LR_NARRATOR_000028,cv慕夏,cv慕夏,https://headpic.lrts.me/G1e3cUoBTUVdvmpmtyUT1sH3IhMaMAvU-announcer-1-21449735.png?imageMogr2/thumbnail/180x180&sign=5f028fbdcaa72a3b148d51324fc9aab9&t=6a38a593,9,,2,80,"cv慕夏推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/862409798,lrts
793594818,LR_NARRATOR_000029,家雀儿_次元口袋,家雀儿_次元口袋,https://headpic.lrts.me/ZUGssiEBsVC5xl3gQBCdMQZHxbiZBjB7-announcer-1-21047726.png?imageMogr2/thumbnail/180x180&sign=aa7288e78971907dcbf08e96c6f5eda8&t=6a38a593,38,,,13,"家雀儿_次元口袋推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/793594818,lrts
772150539,LR_NARRATOR_000030,声色年华工作室,声色年华工作室,https://headpic.lrts.me/wDUY7sWBWte0j7ZjhUKsvWDI0jv1lMr9-announcer-1-19200161.png?imageMogr2/thumbnail/180x180&sign=7ebc63db66664c6dbc0c99a0026bfb48&t=6a38a593,6,,,8,"声色年华工作室推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/772150539,lrts
751833068,LR_NARRATOR_000031,深深蓝,深深蓝,https://headpic.lrts.me/6A2K8mKoZjdaHjelTxaOWn9VOgdgZMIu-announcer-1-16648110.png?imageMogr2/thumbnail/180x180&sign=d7fe2c78a08e3649fec3aa2a3f19f65c&t=6a38a594,675,,,139,"深深蓝推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/751833068,lrts
67901113,LR_NARRATOR_000032,刘忙,刘忙,https://headpic.lrts.me/lczR7aN1KShaDUn5l4yImt8yRDs60Rr8-announcer-1-10397887.png?imageMogr2/thumbnail/180x180&sign=0d615c95794a723bf22b656c5c004dbf&t=6a38a594,17,,68,82503,"刘忙推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/67901113,lrts
780632862,LR_NARRATOR_000033,小K,小K,https://headpic.lrts.me/SrkptcrhglueBlYD7LMQp3AhplCeYNfe-announcer-1-20202968.png?imageMogr2/thumbnail/180x180&sign=0fa564def8653bd115108214f617d79d&t=6a38a594,1,,,2,"小K推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/780632862,lrts
796989575,LR_NARRATOR_000034,落尘文学,落尘文学,https://headpic.lrts.me/5SXcDeyoNJFK4D4S51SpCEyKmTzUWEH8-announcer-1-21335141.png?imageMogr2/thumbnail/180x180&sign=64840826f86fe10d683986143464ac9b&t=6a38a595,128,,,75,"落尘文学推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/796989575,lrts
891235734,LR_NARRATOR_000035,鹿瑶剧场,鹿瑶剧场,https://headpic.lrts.me/P9oyJaEcm1MI43XAbuDGvWHZhls3DBjs-announcer-1-23416284.png?imageMogr2/thumbnail/180x180&sign=39952cda73bf7075b1bf02da085092fc&t=6a38a595,15,,,35,"鹿瑶剧场推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/891235734,lrts
757838549,LR_NARRATOR_000036,明蕊宁,明蕊宁,https://headpic.lrts.me/784799727_20240104112230uc.jpg?imageMogr2/thumbnail/180x180&sign=8a38b96bf0716195a570cea21d278fed&t=6a38a596,1898,,,181,"明蕊宁推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/757838549,lrts
784006053,LR_NARRATOR_000037,奇创有声,奇创有声,https://headpic.lrts.me/default_user_cover_2023_03.png?imageMogr2/thumbnail/180x180&sign=c8acdede7dadafc559d653981d744933&t=6a38a596,38,,,37,"奇创有声推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/784006053,lrts
779422552,LR_NARRATOR_000038,霁玥飞飞,霁玥飞飞,https://headpic.lrts.me/s17qffGVsRX6fU7PRx2CORIQ57cULWR7-announcer-1-20023259.png?imageMogr2/thumbnail/180x180&sign=8af996c074e786eb9618faea0694bd70&t=6a38a597,547,,,2021,"霁玥飞飞推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/779422552,lrts
761840523,LR_NARRATOR_000039,青月紫凝,青月紫凝,https://headpic.lrts.me/RU02SFfknvLSIFtOFic8F5nKiph3jAsY-announcer-1-17807652.png?imageMogr2/thumbnail/180x180&sign=205861a2d66c6651718fbfe553d858de&t=6a38a597,939,,,309,"青月紫凝推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/761840523,lrts
769475260,LR_NARRATOR_000040,潘多拉魔盒,潘多拉魔盒,https://headpic.lrts.me/GAxcUhamDmPBb9mKxhNjkOxbaee4T6wD-announcer-1-18763675.png?imageMogr2/thumbnail/180x180&sign=2755e57f7939bc63c9d500ead5902578&t=6a38a598,757,,,88,"潘多拉魔盒推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/769475260,lrts
800048459,LR_NARRATOR_000041,主播游兮创意文化,主播游兮创意文化,https://headpic.lrts.me/800048459_20250304163110uc.jpg?imageMogr2/thumbnail/180x180&sign=c076c86870f5e39435979ace33b73105&t=6a38a598,534,,,4,"主播游兮创意文化推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/800048459,lrts
802689005,LR_NARRATOR_000042,沐沐浅言,沐沐浅言,https://headpic.lrts.me/PKtdZ4KtWuGKuiJoZnvQYP4EJIPrQa03-announcer-1-21998484.png?imageMogr2/thumbnail/180x180&sign=b87f3a0e2102eba5f3ddb519a0e7f420&t=6a38a598,2,,,,"沐沐浅言推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/802689005,lrts
760248525,LR_NARRATOR_000043,飞沙的距离,飞沙的距离,https://headpic.lrts.me/gMAINw92jKNOnqY8Ez8zIKHkZ71q477p-announcer-1-17649261.png?imageMogr2/thumbnail/180x180&sign=1fc96b8c60c3725c2f1d4ae787403c6a&t=6a38a598,791,,,232,"飞沙的距离推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/760248525,lrts
755958511,LR_NARRATOR_000044,樱雨,樱雨,https://headpic.lrts.me/ZCmVTQCJn178dHOJmbiHiv0xD7kOwPBh-announcer-1-17191535.png?imageMogr2/thumbnail/180x180&sign=f30b6eefe459832abd4fd5517468f030&t=6a38a598,968,,,592,"樱雨推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/755958511,lrts
751832547,LR_NARRATOR_000045,悠悠青鸾,悠悠青鸾,https://headpic.lrts.me/0lQLJ5BHtaXzaCEma4EkITAPfoBDZp6U-announcer-1-16668995.png?imageMogr2/thumbnail/180x180&sign=8e9961f0b68cb8f523fbc4835623a875&t=6a38a599,600,,,182,"悠悠青鸾推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/751832547,lrts
780397618,LR_NARRATOR_000046,主播朱雀,主播朱雀,https://headpic.lrts.me/0jJmUFMGyBMvKjnNlqWQ7ncDkgr2nXqM-announcer-1-20182261.png?imageMogr2/thumbnail/180x180&sign=1051be8bd847e983c5c123c8fbb95002&t=6a38a599,998,,,310,"主播朱雀推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/780397618,lrts
772836503,LR_NARRATOR_000047,朱雀,朱雀,https://headpic.lrts.me/5uvdLF9RrKbrv7dfolzJrhpsVvcBAjB4-announcer-1-19275957.png?imageMogr2/thumbnail/180x180&sign=729c1f8fae109142414516ca02274d87&t=6a38a599,1666,,,681,"朱雀推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/772836503,lrts
793461263,LR_NARRATOR_000048,游兮创意文化,游兮创意文化,https://headpic.lrts.me/default_user_cover_2023_05.png?imageMogr2/thumbnail/180x180&sign=dd394cac088efe33b4568e10da145bce&t=6a38a599,118,,,144,"游兮创意文化推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/793461263,lrts
757539719,LR_NARRATOR_000049,江湖故事集,江湖故事集,https://headpic.lrts.me/784799727_20240104112230uc.jpg?imageMogr2/thumbnail/180x180&sign=6343a9138e0f0b124910070d3a4a678a&t=6a38a59a,19,,,507,"江湖故事集推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/757539719,lrts
747606081,LR_NARRATOR_000050,齐疯有声,齐疯有声,https://headpic.lrts.me/1WyY1nftHwmqW8QT3Pc6AWyWyjbll4Hp-announcer-1-15836375.png?imageMogr2/thumbnail/180x180&sign=aba96d6d2bf84f1c5f3783c0114985b3&t=6a38a59a,270,,,1270,"齐疯有声推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/747606081,lrts
759057028,LR_NARRATOR_000051,王封臣-评书名家,王封臣-评书名家,https://headpic.lrts.me/a0xQ7gsu7aXsPKziDdvkpzjTxIQEgQeh-announcer-1-17507858.png?imageMogr2/thumbnail/180x180&sign=fdd8ca8379f625fb129317f02e5fcf5d&t=6a38a59a,17,,,279,"王封臣-评书名家推荐的有声读物,懒人听书是4.8亿用户选择的综合性有声阅读交流平台。热门IP入驻，知名主播云集，海量内容资源共筑有声阅读生态圈，出版物、儿童读物、电台等多种节目类型满足用户全内容收听需求。",https://www.lrts.me/user/759057028,lrts
